,Unnamed: 0,_id,Function,Time,Error,time_stamp
3629738,3629738,62c1bab458e8c0ea705a1c6c,get_newest_articles_api.py get_keywords,4.328656912,FALSE,2022-07-03 15:50:12:096366
3629739,3629739,62c1bab458e8c0ea705a2f5d,get_newest_articles_api.py save_to_db,0.178775549,FALSE,2022-07-03 15:50:12:295228
3629740,3629740,62c1bab458e8c0ea705a2f5e,get_newest_articles_api.py db_check_not_empty,0.003546476,FALSE,2022-07-03 15:50:12:302513
3629741,3629741,62c1bab458e8c0ea705a2f5f,get_newest_articles_api.py db_get_newest_entry,0.003824949,FALSE,2022-07-03 15:50:12:309507
3629742,3629742,62c1bab458e8c0ea705a2f60,get_newest_articles_api.py get,0.01900816,FALSE,2022-07-03 15:50:12:332944
3629743,3629743,62c1bab458e8c0ea705a2f61,get_newest_articles_api.py main,4.6284554,FALSE,2022-07-03 15:50:12:394569
3630278,3630278,62c1bbe0e7b37a52784bd186,get_newest_articles_api.py get_keywords,5.268143415,FALSE,2022-07-03 15:55:12:485305
3630279,3630279,62c1bbe0e7b37a52784be477,get_newest_articles_api.py save_to_db,0.177751064,FALSE,2022-07-03 15:55:12:682792
3630280,3630280,62c1bbe0e7b37a52784be478,get_newest_articles_api.py db_check_not_empty,0.003637791,FALSE,2022-07-03 15:55:12:690262
3630281,3630281,62c1bbe0e7b37a52784be479,get_newest_articles_api.py db_get_newest_entry,0.003867626,FALSE,2022-07-03 15:55:12:697496
3630282,3630282,62c1bbe0e7b37a52784be47a,get_newest_articles_api.py get,0.019570827,FALSE,2022-07-03 15:55:12:721641
3630283,3630283,62c1bbe0e7b37a52784be47b,get_newest_articles_api.py main,5.570462227,FALSE,2022-07-03 15:55:12:787180
3630771,3630771,62c1bd0bc833d4b13dbac54e,get_newest_articles_api.py get_keywords,4.092384338,FALSE,2022-07-03 16:00:11:564232
3630772,3630772,62c1bd0bc833d4b13dbad83f,get_newest_articles_api.py save_to_db,0.180130243,FALSE,2022-07-03 16:00:11:763838
3630773,3630773,62c1bd0bc833d4b13dbad840,get_newest_articles_api.py db_check_not_empty,0.003547668,FALSE,2022-07-03 16:00:11:771634
3630774,3630774,62c1bd0bc833d4b13dbad841,get_newest_articles_api.py db_get_newest_entry,0.003865719,FALSE,2022-07-03 16:00:11:778665
3630775,3630775,62c1bd0bc833d4b13dbad842,get_newest_articles_api.py get,0.022577286,FALSE,2022-07-03 16:00:11:805608
3630776,3630776,62c1bd0bc833d4b13dbad843,get_newest_articles_api.py main,4.39550662,FALSE,2022-07-03 16:00:11:866910
3630777,3630777,62c1bd0c6fe2bd2e69fe5a5e,get_ge_data.py ga_api,5.926342964,FALSE,2022-07-03 16:00:12:475407
3630778,3630778,62c1bd0c6fe2bd2e69fe5c3d,get_ge_data.py save_to_db,0.017642498,FALSE,2022-07-03 16:00:12:579232
3630779,3630779,62c1bd0c6fe2bd2e69fe5c3e,get_ge_data.py main,6.037335396,FALSE,2022-07-03 16:00:12:586023
3631226,3631226,62c1be36e5ab440414c6dcad,get_newest_articles_api.py get_keywords,4.074286461,FALSE,2022-07-03 16:05:10:585888
3631227,3631227,62c1be36e5ab440414c6ef9e,get_newest_articles_api.py save_to_db,0.184786797,FALSE,2022-07-03 16:05:10:790587
3631228,3631228,62c1be36e5ab440414c6ef9f,get_newest_articles_api.py db_check_not_empty,0.003582954,FALSE,2022-07-03 16:05:10:797828
3631229,3631229,62c1be36e5ab440414c6efa0,get_newest_articles_api.py db_get_newest_entry,0.003712416,FALSE,2022-07-03 16:05:10:804662
3631230,3631230,62c1be36e5ab440414c6efa1,get_newest_articles_api.py get,0.144747734,FALSE,2022-07-03 16:05:10:953825
3631231,3631231,62c1be37e5ab440414c6efa2,get_newest_articles_api.py main,4.506227732,FALSE,2022-07-03 16:05:11:017532
3631678,3631678,62c1bf64091b8f481877cb4f,get_newest_articles_api.py get_keywords,4.554392815,FALSE,2022-07-03 16:10:12:327676
3631679,3631679,62c1bf64091b8f481877de40,get_newest_articles_api.py save_to_db,0.176996708,FALSE,2022-07-03 16:10:12:524465
3631680,3631680,62c1bf64091b8f481877de41,get_newest_articles_api.py db_check_not_empty,0.00361371,FALSE,2022-07-03 16:10:12:531749
3631681,3631681,62c1bf64091b8f481877de42,get_newest_articles_api.py db_get_newest_entry,0.003885269,FALSE,2022-07-03 16:10:12:538871
3631682,3631682,62c1bf64091b8f481877de43,get_newest_articles_api.py get,0.050258398,FALSE,2022-07-03 16:10:12:593641
3631683,3631683,62c1bf64091b8f481877de44,get_newest_articles_api.py main,4.883313894,FALSE,2022-07-03 16:10:12:656171
3632154,3632154,62c1c08f350207bacac330b4,get_newest_articles_api.py get_keywords,4.181982756,FALSE,2022-07-03 16:15:11:921712
3632155,3632155,62c1c090350207bacac343a5,get_newest_articles_api.py save_to_db,0.173458099,FALSE,2022-07-03 16:15:12:114525
3632156,3632156,62c1c090350207bacac343a6,get_newest_articles_api.py db_check_not_empty,0.003462553,FALSE,2022-07-03 16:15:12:121477
3632157,3632157,62c1c090350207bacac343a7,get_newest_articles_api.py db_get_newest_entry,0.003742218,FALSE,2022-07-03 16:15:12:128256
3632158,3632158,62c1c090350207bacac343a8,get_newest_articles_api.py get,0.160625935,FALSE,2022-07-03 16:15:12:293107
3632159,3632159,62c1c090350207bacac343a9,get_newest_articles_api.py main,4.616084814,FALSE,2022-07-03 16:15:12:355372
3632534,3632534,62c1c1bb542c10b20c85d51c,get_newest_articles_api.py get_keywords,3.791598082,FALSE,2022-07-03 16:20:11:081088
3632535,3632535,62c1c1bb542c10b20c85e80d,get_newest_articles_api.py save_to_db,0.179516077,FALSE,2022-07-03 16:20:11:280687
3632536,3632536,62c1c1bb542c10b20c85e80e,get_newest_articles_api.py db_check_not_empty,0.003602982,FALSE,2022-07-03 16:20:11:288070
3632537,3632537,62c1c1bb542c10b20c85e80f,get_newest_articles_api.py db_get_newest_entry,0.003869295,FALSE,2022-07-03 16:20:11:295094
3632538,3632538,62c1c1bb542c10b20c85e810,get_newest_articles_api.py get,0.139336109,FALSE,2022-07-03 16:20:11:438944
3632539,3632539,62c1c1bb542c10b20c85e811,get_newest_articles_api.py main,4.212352753,FALSE,2022-07-03 16:20:11:501188
